Name_of_Place,Segmentation,atmosphere_num,atmosphere_type,description ,location,review,no_of_people,approximate_cost,Opening_and_closing_Time,Suggested_Duration,,,
Gamistry,Games and Entertainment,2,Indoor,largest board gaming venture with an international ambience and world class tabletop games along with food,"2nd Floor SCM Jamaldeen Chambers, Red Cross Rd, Egmore, Chennai, Tamil Nadu 600008",4.9,15,300,11:00 am - 10:00 pm,1hr,,,
Mystery Rooms,Games and Entertainment,2,Indoor,"Mystery Rooms is a challenging race against the clock where the sole motive is to get yourself out of a themed space before time kicks you! Imagine being locked in a thrill space with your team of 2-8 people and you have exact 60 minutes to use logic, find clues, unravel a mystery and prove the power of team work to conclude a mission.","24, 2nd Flr, College Rd, above Kora), BBCL Magnum, Nungambakkam, Chennai, Tamil Nadu 600006",4.5,4,600,11:00 am - 11:00 pm,1hr,,,
Kapaleeshwarar Temple,Religious sites,2,Indoor,This ancient shrine to Shiva is centrally located and among the area’s most popular landmarks.,"Kapaleesvarar Sannadhi Street Vinayaka Nagar Colony, Chennai (Madras) 600004 India",4.5,25,0,"5:00 AM - 12:00 PM, 4:00 PM - 9:30 PM",1hr,,,
VGP SnowKingdom,Amusement & Theme Park,2,Indoor,"The best place to be in Chennai this summer is the Snow Kingdom beating the heat with our amazing creation of one of its kind most happening theme Park&Gardens that provides a real-time immersion of playing and having fun in the snow on the most scorching days of the year.Entertainment activities chosen and created for every age group, feel the replica of no less than a hill station right here in Chennai Tamil Nadu only at the Snow Kingdom.","East Coast Road Injambakkam, Chennai (Madras) 600115 India",5,30,700,10:00 AM - 8:00 PM,6hr,,,
San Thome Church,Religious sites,2,Indoor,"Probably the most magnificent and prominent reminder of Chennai's colonial lineage, the San Thome Church bears a colossal amount of history since A.D. 52, the year when St. Thomas traveled to India, though the Roman Catholic basilica was built in the 16th century by the Portuguese. It was then rebuilt by the British in 1893. The imposing structure reaches a height of 155 feet and emanates peace and architectural splendor with its tall spires over the tomb of the saint. The sea makes a wonderful backdrop to the pristine white structure. The San Thome Church is considered one of the pilgrimages for people around the world.","38 San Thome High Road, Chennai (Madras) 600004 India",4.5,25,0,6:00 AM - 8:00 PM,2 hr,,,
Marina beach,Beaches,1,Outdoor,"This expansive beach is Chennai's most famous tourist attraction, though the undercurrent is too strong for all but the strongest swimmers. Look out for the ""Kannagi"" statue on Marina Beach, which tells the story of the legendary character from a South Indian epic.","Marina Beach Road, Chennai (Madras) 600005 India",4,50,0,12:00 AM - 11:59 PM,2-3 hrs,,,
Besant Nagar Beach,Beaches,1,Outdoor,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach or the Bessie, is a natural urban beach located in the Besant Nagar","34, Elliot's Promenade, Odaimanagar, Besant Nagar, Chennai, Tamil Nadu 600090",4,50,100,5 am–9:30 pm,2-3 hrs,,,
Arulmigu Thiruvallikeni Parthasarathy Temple,Religious sites,2,Indoor&Outdoor,"Close to Marina Beach, yet another architectural wonder from the 8th century can be part of the itinerary. An intricate pyramid-shaped rajagopuram (dome) stands prominently and is the main feature of the temple. As anecdotes go, the British were unable to pronounce the original name, Thiriallikeni, and rechristened it Triplicane.","Car St, Narayana Krishnaraja Puram, Triplicane, Chennai, Tamil Nadu 600005",4.5,15,0,6:00 AM - 8:00 PM,<1hr,,,
Express Avenue Mall,Shopping Mall,2,Indoor,"Chennai’s finest destination for Fashion, Lifestyle & Entertainment. Welcome to a futuristic shopping experience.","17, Pattullos Rd, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600002",4,20,0,10AM to 10PM,5hr,,,
Shirdi Sai Baba Temple,Religious sites,2,Indoor,"The main temple of Shri Shirdi Sai Baba is an elegant hexagonal structure of white marble, towering over a height of 100 ft. The image of Shri Sai Baba is handcrafted in pure white marble in his famous sitting posture.","Injambakkam, Chennai (Madras) 423109 India",4.5,15,0,"other days(7 am–1 pm, 3–9 pm)
Thursday(7 am–1 am)",1hr,,,
